"movieId";"title";"year";"genres";"rating";"imdbId";"tmdbId"
"1";"Toy Story";"1995";"Animation|Comedy|Family";"7.8";"114709";"862"
"2";"Jumanji";"1995";"Adventure|Children|Fantasy";"7.0";"113497";"8844"
"3";"Grumpier Old Men";"1995";"Romance|Comedy";"6.5";"113228";"15602"
"4";"Waiting to Exhale";"1995";"Comedy|Drama|Romance";"6.0";"114885";"31357"
"5";"Father of the Bride Part II";"1995";"Comedy";"5.8";"113041";"11862"
"8";"Tom and Huck";"1995";"Adventure|Children";"5.3";"112302";"45325"
"9";"Sudden Death";"1995";"Action";"5.6";"114576";"9091"
"10";"GoldenEye";"1995";"Adventure|Action|Thriller";"6.7";"113189";"710"
"11";"The American President";"1995";"Comedy|Drama|Romance";"6.6";"112346";"9087"
"12";"Dracula Dead and Loving It";"1995";"Comedy|Horror";"5.8";"112896";"12110"
"13";"Balto";"1995";"Adventure|Animation|Children";"0.0";"112453";"21032"
"14";"Nixon";"1995";"Drama";"6.9";"113987";"10858"
"15";"Cutthroat Island";"1995";"Action|Adventure|Romance";"0.0";"112760";"1408"
"16";"Casino";"1962";"Crime|Drama";"7.8";"112641";"524"
"17";"Sense and Sensibility";"1995";"Drama|Romance";"0.0";"114388";"4584"
"18";"Four Rooms";"1995";"Comedy";"6.6";"113101";"5"
"19";"Ace Ventura When Nature Calls";"1995";"Comedy";"0.0";"112281";"9273"
"20";"Money Train";"1995";"Action|Comedy|Crime|Drama|Thriller";"0.0";"113845";"11517"
"21";"Get Shorty";"1995";"Comedy|Crime|Thriller";"6.4";"113161";"8012"
"22";"Copycat";"1995";"Crime|Drama|Horror|Mystery|Thriller";"0.0";"112722";"1710"
"24";"Powder";"1995";"Drama|Sci-Fi";"0.0";"114168";"12665"
"25";"Leaving Las Vegas";"1995";"Drama|Romance";"7.1";"113627";"451"
"27";"Now and Then";"1995";"Children|Drama";"0.0";"114011";"9263"
"29";"City of Lost Children The Cit̩ des enfants perdus La";"1995";"Adventure|Drama|Fantasy|Mystery|Sci-Fi";"0.0";"112682";"902"
"30";"Shanghai Triad Yao a yao yao dao waipo qiao";"1995";"Crime|Drama";"0.0";"115012";"37557"
